model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,run_number,eval_accuracy,eval_balanced_accuracy,eval_mcc,eval_roc_auc,eval_f1,eval_precision,eval_recall
NeuralNetFastAI,0.9243902439024391,0.9329268292682927,accuracy,0.03511500358581543,0.017081260681152344,2.813662528991699,0.03511500358581543,0.017081260681152344,2.813662528991699,1,True,8,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
ExtraTreesEntr,0.9243902439024391,0.9329268292682927,accuracy,0.10469436645507812,0.08930468559265137,1.412752628326416,0.10469436645507812,0.08930468559265137,1.412752628326416,1,True,7,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
LightGBMLarge,0.9195121951219513,0.926829268292683,accuracy,0.007738590240478516,0.005371809005737305,2.5121817588806152,0.007738590240478516,0.005371809005737305,2.5121817588806152,1,True,11,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
LightGBM,0.9195121951219513,0.9359756097560976,accuracy,0.013664960861206055,0.008874177932739258,1.415367841720581,0.013664960861206055,0.008874177932739258,1.415367841720581,1,True,2,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
LightGBMXT,0.9195121951219513,0.9359756097560976,accuracy,0.014307975769042969,0.0058689117431640625,1.1995832920074463,0.014307975769042969,0.0058689117431640625,1.1995832920074463,1,True,1,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
XGBoost,0.9195121951219513,0.9298780487804879,accuracy,0.020999431610107422,0.008074760437011719,3.3287155628204346,0.020999431610107422,0.008074760437011719,3.3287155628204346,1,True,9,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
CatBoost,0.9195121951219513,0.9420731707317073,accuracy,0.04624748229980469,0.03855443000793457,16.11551570892334,0.04624748229980469,0.03855443000793457,16.11551570892334,1,True,5,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
WeightedEnsemble_L2,0.9195121951219513,0.9420731707317073,accuracy,0.04739022254943848,0.039087533950805664,16.155235528945923,0.001142740249633789,0.0005331039428710938,0.03971982002258301,2,True,12,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
RandomForestEntr,0.9195121951219513,0.9329268292682927,accuracy,0.10029268264770508,0.05766153335571289,0.8767514228820801,0.10029268264770508,0.05766153335571289,0.8767514228820801,1,True,4,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
ExtraTreesGini,0.9195121951219513,0.9359756097560976,accuracy,0.1053621768951416,0.05674290657043457,0.8689253330230713,0.1053621768951416,0.05674290657043457,0.8689253330230713,1,True,6,1,0.9195121951219513,0.7494277985851019,0.6037359988706673,0.9401789429879318,0.9548563611491108,0.9306666666666666,0.9803370786516854
