model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,run_number,eval_root_mean_squared_error,eval_mean_squared_error,eval_mean_absolute_error,eval_r2,eval_pearsonr,eval_median_absolute_error
WeightedEnsemble_L2,-0.8322992732795546,-0.8380253458893927,root_mean_squared_error,0.27297496795654297,0.08707594871520996,27.9419264793396,0.002665281295776367,0.0005216598510742188,0.006555795669555664,2,True,10,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBM,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.01908397674560547,0.006430387496948242,0.7896599769592285,0.01908397674560547,0.006430387496948242,0.7896599769592285,1,True,2,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMXT,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.019342422485351562,0.0060808658599853516,3.1238369941711426,0.019342422485351562,0.0060808658599853516,3.1238369941711426,1,True,1,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
CatBoost,-0.8599039904110712,-0.8882445511177628,root_mean_squared_error,0.03571343421936035,0.011294126510620117,11.83752703666687,0.03571343421936035,0.011294126510620117,11.83752703666687,1,True,4,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetTorch,-0.86783015437422,-0.8832942016474664,root_mean_squared_error,0.011282205581665039,0.004553079605102539,12.164095878601074,0.011282205581665039,0.004553079605102539,12.164095878601074,1,True,8,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
XGBoost,-0.8852166391737974,-0.8704821376839104,root_mean_squared_error,0.022014856338500977,0.006776094436645508,3.123246192932129,0.022014856338500977,0.006776094436645508,3.123246192932129,1,True,7,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
ExtraTreesMSE,-0.8959578338693169,-0.8911995952899335,root_mean_squared_error,0.25038957595825195,0.05562996864318848,8.444451808929443,0.25038957595825195,0.05562996864318848,8.444451808929443,1,True,5,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
RandomForestMSE,-0.897137993587997,-0.8894509394021473,root_mean_squared_error,0.21767020225524902,0.06914424896240234,9.524191617965698,0.21767020225524902,0.06914424896240234,9.524191617965698,1,True,3,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMLarge,-0.9073882961369703,-0.9043774691345203,root_mean_squared_error,0.013398170471191406,0.004074811935424805,1.658569097518921,0.013398170471191406,0.004074811935424805,1.658569097518921,1,True,9,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetFastAI,-0.9189906976920094,-0.9739565598041243,root_mean_squared_error,0.028965234756469727,0.01830768585205078,3.325256586074829,0.028965234756469727,0.01830768585205078,3.325256586074829,1,True,6,1,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
WeightedEnsemble_L2,-0.8322992732795546,-0.8380253458893927,root_mean_squared_error,0.3018758296966553,0.0849909782409668,27.947622060775757,0.002411365509033203,0.00033020973205566406,0.00634455680847168,2,True,10,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMXT,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.019652128219604492,0.008069038391113281,1.0932393074035645,0.019652128219604492,0.008069038391113281,1.0932393074035645,1,True,1,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBM,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.02089071273803711,0.0077207088470458984,0.8929557800292969,0.02089071273803711,0.0077207088470458984,0.8929557800292969,1,True,2,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
CatBoost,-0.8599039904110712,-0.8882445511177628,root_mean_squared_error,0.04012107849121094,0.01084280014038086,11.952645540237427,0.04012107849121094,0.01084280014038086,11.952645540237427,1,True,4,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetTorch,-0.86783015437422,-0.8832942016474664,root_mean_squared_error,0.014278888702392578,0.0046234130859375,13.09184217453003,0.014278888702392578,0.0046234130859375,13.09184217453003,1,True,8,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
XGBoost,-0.8852166391737974,-0.8704821376839104,root_mean_squared_error,0.03717327117919922,0.006532907485961914,3.5313801765441895,0.03717327117919922,0.006532907485961914,3.5313801765441895,1,True,7,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
ExtraTreesMSE,-0.8959578338693169,-0.8911995952899335,root_mean_squared_error,0.2799563407897949,0.04565834999084473,9.052478313446045,0.2799563407897949,0.04565834999084473,9.052478313446045,1,True,5,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
RandomForestMSE,-0.897137993587997,-0.8894509394021473,root_mean_squared_error,0.22836017608642578,0.06543540954589844,10.224815845489502,0.22836017608642578,0.06543540954589844,10.224815845489502,1,True,3,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMLarge,-0.9073882961369703,-0.9043774691345203,root_mean_squared_error,0.01350545883178711,0.0052373409271240234,1.9234740734100342,0.01350545883178711,0.0052373409271240234,1.9234740734100342,1,True,9,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetFastAI,-0.9189906976920094,-0.9739565598041243,root_mean_squared_error,0.035970211029052734,0.013175010681152344,2.5026910305023193,0.035970211029052734,0.013175010681152344,2.5026910305023193,1,True,6,2,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
WeightedEnsemble_L2,-0.8322992732795546,-0.8380253458893927,root_mean_squared_error,0.2501349449157715,0.0763087272644043,25.970285177230835,0.0025560855865478516,0.0003120899200439453,0.007820844650268555,2,True,10,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMXT,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.016174793243408203,0.008632183074951172,1.203016757965088,0.016174793243408203,0.008632183074951172,1.203016757965088,1,True,1,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBM,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.019756555557250977,0.0076448917388916016,1.0032973289489746,0.019756555557250977,0.0076448917388916016,1.0032973289489746,1,True,2,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
CatBoost,-0.8599039904110712,-0.8882445511177628,root_mean_squared_error,0.03479409217834473,0.011001110076904297,11.938755512237549,0.03479409217834473,0.011001110076904297,11.938755512237549,1,True,4,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetTorch,-0.86783015437422,-0.8832942016474664,root_mean_squared_error,0.010810375213623047,0.006390094757080078,11.427929639816284,0.010810375213623047,0.006390094757080078,11.427929639816284,1,True,8,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
XGBoost,-0.8852166391737974,-0.8704821376839104,root_mean_squared_error,0.018516063690185547,0.00522160530090332,3.0774645805358887,0.018516063690185547,0.00522160530090332,3.0774645805358887,1,True,7,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
ExtraTreesMSE,-0.8959578338693169,-0.8911995952899335,root_mean_squared_error,0.22226619720458984,0.06516098976135254,9.09628701210022,0.22226619720458984,0.06516098976135254,9.09628701210022,1,True,5,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
RandomForestMSE,-0.897137993587997,-0.8894509394021473,root_mean_squared_error,0.20207762718200684,0.05575275421142578,10.254053354263306,0.20207762718200684,0.05575275421142578,10.254053354263306,1,True,3,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMLarge,-0.9073882961369703,-0.9043774691345203,root_mean_squared_error,0.012866735458374023,0.0052089691162109375,1.8235692977905273,0.012866735458374023,0.0052089691162109375,1.8235692977905273,1,True,9,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetFastAI,-0.9189906976920094,-0.9739565598041243,root_mean_squared_error,0.024217605590820312,0.014553546905517578,2.472320318222046,0.024217605590820312,0.014553546905517578,2.472320318222046,1,True,6,3,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
WeightedEnsemble_L2,-0.8322992732795546,-0.8380253458893927,root_mean_squared_error,0.2743377685546875,0.11599564552307129,27.72401762008667,0.002080678939819336,0.0002932548522949219,0.005979299545288086,2,True,10,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBM,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.019422292709350586,0.0062122344970703125,0.8362977504730225,0.019422292709350586,0.0062122344970703125,0.8362977504730225,1,True,2,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMXT,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.01946115493774414,0.00806736946105957,0.8831818103790283,0.01946115493774414,0.00806736946105957,0.8831818103790283,1,True,1,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
CatBoost,-0.8599039904110712,-0.8882445511177628,root_mean_squared_error,0.03578686714172363,0.010712862014770508,12.49586820602417,0.03578686714172363,0.010712862014770508,12.49586820602417,1,True,4,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetTorch,-0.86783015437422,-0.8832942016474664,root_mean_squared_error,0.00782632827758789,0.004685640335083008,12.380442142486572,0.00782632827758789,0.004685640335083008,12.380442142486572,1,True,8,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
XGBoost,-0.8852166391737974,-0.8704821376839104,root_mean_squared_error,0.017672300338745117,0.006569862365722656,3.8050076961517334,0.017672300338745117,0.006569862365722656,3.8050076961517334,1,True,7,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
ExtraTreesMSE,-0.8959578338693169,-0.8911995952899335,root_mean_squared_error,0.2194678783416748,0.06455302238464355,9.08223843574524,0.2194678783416748,0.06455302238464355,9.08223843574524,1,True,5,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
RandomForestMSE,-0.897137993587997,-0.8894509394021473,root_mean_squared_error,0.22729730606079102,0.09637951850891113,10.649406671524048,0.22729730606079102,0.09637951850891113,10.649406671524048,1,True,3,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMLarge,-0.9073882961369703,-0.9043774691345203,root_mean_squared_error,0.009945154190063477,0.004276752471923828,1.742307424545288,0.009945154190063477,0.004276752471923828,1.742307424545288,1,True,9,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetFastAI,-0.9189906976920094,-0.9739565598041243,root_mean_squared_error,0.02421712875366211,0.012631654739379883,2.6091554164886475,0.02421712875366211,0.012631654739379883,2.6091554164886475,1,True,6,4,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
WeightedEnsemble_L2,-0.8322992732795546,-0.8380253458893927,root_mean_squared_error,0.28909730911254883,0.09896135330200195,27.07215404510498,0.0021429061889648438,0.0003192424774169922,0.006252288818359375,2,True,10,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBM,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.016089677810668945,0.00901174545288086,1.0669898986816406,0.016089677810668945,0.00901174545288086,1.0669898986816406,1,True,2,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMXT,-0.8511078187017528,-0.8589990484439075,root_mean_squared_error,0.0166933536529541,0.006947517395019531,0.8808944225311279,0.0166933536529541,0.006947517395019531,0.8808944225311279,1,True,1,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
CatBoost,-0.8599039904110712,-0.8882445511177628,root_mean_squared_error,0.04675030708312988,0.010814189910888672,13.074119091033936,0.04675030708312988,0.010814189910888672,13.074119091033936,1,True,4,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetTorch,-0.86783015437422,-0.8832942016474664,root_mean_squared_error,0.01344752311706543,0.006597042083740234,12.344585657119751,0.01344752311706543,0.006597042083740234,12.344585657119751,1,True,8,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
XGBoost,-0.8852166391737974,-0.8704821376839104,root_mean_squared_error,0.017794132232666016,0.006570100784301758,3.116631507873535,0.017794132232666016,0.006570100784301758,3.116631507873535,1,True,7,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
ExtraTreesMSE,-0.8959578338693169,-0.8911995952899335,root_mean_squared_error,0.21968460083007812,0.06661415100097656,9.019980430603027,0.21968460083007812,0.06661415100097656,9.019980430603027,1,True,5,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
RandomForestMSE,-0.897137993587997,-0.8894509394021473,root_mean_squared_error,0.23901939392089844,0.07852745056152344,10.723790168762207,0.23901939392089844,0.07852745056152344,10.723790168762207,1,True,3,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
LightGBMLarge,-0.9073882961369703,-0.9043774691345203,root_mean_squared_error,0.00991368293762207,0.004068613052368164,1.9637691974639893,0.00991368293762207,0.004068613052368164,1.9637691974639893,1,True,9,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
NeuralNetFastAI,-0.9189906976920094,-0.9739565598041243,root_mean_squared_error,0.0258181095123291,0.012776374816894531,2.662362813949585,0.0258181095123291,0.012776374816894531,2.662362813949585,1,True,6,5,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
WeightedEnsemble_L2,-0.8322992732795546,-0.8380253458893927,root_mean_squared_error,0.26266932487487793,0.09917068481445312,25.862088918685913,0.0021753311157226562,0.00030350685119628906,0.006136417388916016,2,True,10,6,-0.8322992732795546,-0.6927220803016747,-0.5874384363584758,0.7022694554562499,0.8382554540314742,-0.4039235260227585
