molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL80814,34.0,nM,COc1ccc(CCN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,7.468521082957745
CHEMBL276119,9.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,8.045757490560675
CHEMBL78934,20.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,7.698970004336019
CHEMBL78369,3.0,nM,O=C(NO)C1(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)CCN(Cc2ccccc2)CC1,8.522878745280337
CHEMBL514138,9.0,nM,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,8.045757490560675
CHEMBL80453,44.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,7.356547323513812
CHEMBL312432,6.0,nM,Cc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OCc4ccc(Cl)cc4)cc3)CC2)cc1,8.221848749616356
CHEMBL306617,5.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,8.301029995663981
CHEMBL79111,43.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC)CC2)cc1,7.366531544420413
CHEMBL78798,2.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1,8.698970004336019
CHEMBL80969,10.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,8.0
CHEMBL78909,1.0,nM,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)CC2)cc1,9.0
CHEMBL76137,13.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccc4)cc3)CC2)cc1,7.886056647693163
CHEMBL310340,9.2,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCOCC2)cc1,8.036212172654444
CHEMBL440498,3.0,nM,O=C(NO)C1(CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCOCC1,8.522878745280337
CHEMBL76836,3.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OCCN4CCCCC4)cc3)CC2)cc1,8.522878745280337
CHEMBL312429,5.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc4ccccc4c3)CC2)cc1,8.301029995663981
CHEMBL78549,1.0,nM,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.0
CHEMBL78508,4.0,nM,CC(C)CCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,8.397940008672037
CHEMBL80732,2.0,nM,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCNCC1,8.698970004336019
CHEMBL309311,3.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OC)c3)CC2)cc1,8.522878745280337
CHEMBL79433,1.0,nM,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CCN(Cc2ccccc2)CC1,9.0
CHEMBL78299,9.0,nM,COc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCN3CCCCC3)cc2)C(=O)NO)cc1,8.045757490560675
CHEMBL310684,39.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CC=C(C)C)CC2)cc1,7.4089353929735005
CHEMBL77505,649.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C(C)(C)C)CC2)cc1,6.187755303199631
CHEMBL80321,14.0,nM,CCC(CC)Oc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,7.853871964321762
CHEMBL80183,11.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4cccs4)cc3)CC2)cc1,7.958607314841775
CHEMBL312770,13.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCc3ccccc3)CC2)cc1,7.886056647693163
CHEMBL78337,2.0,nM,CN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,8.698970004336019
CHEMBL81763,138.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C3CCCCCCC3)CC2)cc1,6.860120913598763
CHEMBL311436,3.0,nM,O=C(NO)C1(S(=O)(=O)c2ccc(-c3ccco3)cc2)CCN(Cc2ccccc2)CC1,8.522878745280337
CHEMBL80401,19.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(F)cc3)CC2)cc1,7.721246399047171
CHEMBL419648,10.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C)CC2)cc1,8.0
CHEMBL311357,1.0,nM,CCCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)CC1,9.0
CHEMBL310057,45.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCc3ccccc3)CC2)cc1,7.346787486224656
CHEMBL420023,28.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCC)CC2)cc1,7.552841968657781
CHEMBL312585,484.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C)CC2)cc1,6.315154638355588
CHEMBL309416,16.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(F)cc3)CC2)cc1,7.795880017344075
CHEMBL80798,6.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(-c4ccccn4)cc3)CC2)cc1,8.221848749616356
CHEMBL78611,5.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,8.301029995663981
CHEMBL76847,26.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCOc3ccccc3)CC2)cc1,7.585026652029182
CHEMBL310342,364.0,nM,CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(OC)cc2)CC1,6.438898616350944
CHEMBL76856,12.0,nM,COc1ccc(CN2CCC(C(=O)NO)(S(=O)(=O)c3ccc(OC)cc3)CC2)cc1,7.920818753952375
CHEMBL78962,6.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,8.221848749616356
CHEMBL310324,452.0,nM,CCCCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(OC)cc2)CC1,6.3448615651886175
CHEMBL78709,374.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(C(C)C)CC2)cc1,6.427128397799519
CHEMBL309492,4.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccccc3)CC2)cc1,8.397940008672037
CHEMBL80911,2.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3cccc(OCCN4CCOCC4)c3)CC2)cc1,8.698970004336019
CHEMBL78255,10.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(Br)cc3)CC2)cc1,8.0
CHEMBL78478,3.0,nM,CCCCOc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(OC)cc3)CC2)cc1,8.522878745280337
CHEMBL77176,17.0,nM,COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(Cc3ccc(C)cc3)CC2)cc1,7.769551078621726
CHEMBL279785,1.5,nM,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,8.823908740944319
CHEMBL125901,341.0,nM,O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2ccncc2)cc1,6.467245621007502
CHEMBL125138,661.0,nM,O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2nc3ccccc3s2)cc1,6.17979854051436
CHEMBL126711,35.0,nM,O=C(O)[C@H]1[C@H](CN2C(=O)c3ccccc3S2(=O)=O)CC[C@@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,7.455931955649724
CHEMBL123503,26.0,nM,O=C(O)[C@H]1[C@H](CN2C(=O)c3ccccc3C2=O)CC[C@@H]1SCCc1ccc(-c2ccc(F)cc2)cc1,7.585026652029182
CHEMBL126712,3.3,nM,CC1(C)NC(=O)N(C[C@@H]2CC[C@H](Sc3ccc(-c4ccc(Cl)cc4)cc3)[C@H]2C(=O)O)C1=O,8.481486060122112
CHEMBL127035,62.0,nM,O=C(O)[C@H]1[C@H](CN2NNc3ccsc3C2=O)CC[C@@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,7.207608310501746
CHEMBL126380,2.9,nM,O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,8.537602002101044
CHEMBL339137,24.0,nM,O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1SCCc1ccc(-c2ccc(Cl)cc2)cc1,7.619788758288394
CHEMBL339610,16.0,nM,CSc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4c(=O)nc5ccccn5c4=O)[C@@H]3C(=O)O)cc2)cc1,7.795880017344075
CHEMBL127787,132.0,nM,O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1S(=O)(=O)CCc1ccc(-c2ccc(Cl)cc2)cc1,6.8794260687941495
CHEMBL337946,4.0,nM,CSc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4nnc5ccccc5c4=O)[C@@H]3C(=O)O)cc2)cc1,8.397940008672037
