Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Random Forest Classifier,0.926,0.9436,0.9779,0.9382,0.9575,0.671,0.6849,0.342,1
Extra Trees Classifier,0.926,0.9374,0.9705,0.9448,0.9572,0.6816,0.6919,0.378,1
Gradient Boosting Classifier,0.9232,0.9377,0.973,0.9394,0.9557,0.6667,0.6793,1.626,1
K Neighbors Classifier,0.9198,0.9187,0.9656,0.942,0.9536,0.6577,0.6634,0.2,1
Logistic Regression,0.9163,0.9285,0.9615,0.9418,0.9513,0.6491,0.6559,0.257,1
Ada Boost Classifier,0.9086,0.9326,0.9656,0.93,0.9474,0.5972,0.6059,0.604,1
SVM - Linear Kernel,0.9058,0.9209,0.9533,0.9385,0.945,0.6033,0.6202,0.217,1
Decision Tree Classifier,0.8841,0.7685,0.9329,0.9318,0.932,0.5349,0.5396,0.218,1
Ridge Classifier,0.8695,0.8512,0.9002,0.9443,0.9216,0.5337,0.5401,0.232,1
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,1
Linear Discriminant Analysis,0.7613,0.7427,0.7872,0.9216,0.8489,0.296,0.3185,1.003,1
Naive Bayes,0.4347,0.6438,0.3567,0.9487,0.5142,0.0993,0.1858,0.2,1
Quadratic Discriminant Analysis,0.2359,0.6782,0.1081,0.9498,0.1926,0.0274,0.0958,0.685,1
Extra Trees Classifier,0.9295,0.9326,0.9722,0.9468,0.9592,0.699,0.7042,0.37,2
Random Forest Classifier,0.9274,0.9491,0.9787,0.9391,0.9584,0.6757,0.6883,0.351,2
K Neighbors Classifier,0.924,0.9271,0.9616,0.95,0.9556,0.6892,0.6926,0.185,2
Logistic Regression,0.9191,0.9344,0.9615,0.9448,0.953,0.6614,0.6654,0.201,2
Gradient Boosting Classifier,0.917,0.952,0.9738,0.932,0.9523,0.6294,0.6427,1.626,2
Ada Boost Classifier,0.91,0.9125,0.9681,0.9296,0.9483,0.5991,0.6099,0.607,2
SVM - Linear Kernel,0.91,0.9235,0.9476,0.9471,0.9472,0.6409,0.6441,0.195,2
Decision Tree Classifier,0.8786,0.774,0.9223,0.9344,0.9282,0.5351,0.5367,0.222,2
Ridge Classifier,0.8667,0.8524,0.901,0.9403,0.9201,0.5187,0.5236,0.234,2
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.158,2
Linear Discriminant Analysis,0.7984,0.7835,0.8241,0.9315,0.8742,0.3737,0.3924,0.902,2
Naive Bayes,0.4173,0.5977,0.342,0.9326,0.4987,0.0777,0.1502,0.181,2
Quadratic Discriminant Analysis,0.2177,0.6673,0.0859,0.9713,0.1572,0.021,0.0919,0.653,2
Gradient Boosting Classifier,0.9247,0.9466,0.9755,0.939,0.9567,0.6662,0.6781,1.626,3
Random Forest Classifier,0.9239,0.9421,0.9787,0.9355,0.9565,0.6544,0.6694,0.363,3
Extra Trees Classifier,0.9239,0.9339,0.9722,0.941,0.9562,0.6679,0.6769,0.386,3
K Neighbors Classifier,0.9184,0.9136,0.9623,0.9436,0.9527,0.6543,0.6604,0.192,3
Ada Boost Classifier,0.9184,0.9294,0.9665,0.9398,0.9528,0.6496,0.6561,0.598,3
Logistic Regression,0.9107,0.9328,0.9575,0.9394,0.9481,0.6257,0.6307,0.242,3
SVM - Linear Kernel,0.8988,0.9234,0.9484,0.9345,0.9411,0.5785,0.5848,0.201,3
Decision Tree Classifier,0.8744,0.7799,0.9141,0.9377,0.9254,0.5254,0.5307,0.215,3
Ridge Classifier,0.8702,0.8575,0.9018,0.9441,0.9221,0.5311,0.5387,0.225,3
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,3
Linear Discriminant Analysis,0.7864,0.7599,0.8069,0.9344,0.8652,0.3596,0.3851,0.911,3
Naive Bayes,0.4242,0.6207,0.3445,0.9451,0.5033,0.0924,0.1763,0.203,3
Quadratic Discriminant Analysis,0.2666,0.6832,0.1457,0.9615,0.2517,0.0373,0.1183,0.678,3
Random Forest Classifier,0.9372,0.9545,0.9787,0.9495,0.9638,0.7268,0.7341,0.359,4
Extra Trees Classifier,0.9337,0.942,0.9746,0.9494,0.9617,0.7144,0.7221,0.377,4
K Neighbors Classifier,0.9302,0.933,0.9689,0.9504,0.9595,0.7075,0.7121,0.192,4
Logistic Regression,0.9281,0.931,0.9673,0.9497,0.9583,0.6987,0.7036,0.233,4
Gradient Boosting Classifier,0.9267,0.95,0.9746,0.9419,0.9578,0.677,0.6863,1.624,4
Ada Boost Classifier,0.9183,0.9282,0.9689,0.938,0.953,0.6415,0.6521,0.596,4
SVM - Linear Kernel,0.9141,0.9209,0.9517,0.9479,0.9495,0.6608,0.6668,0.202,4
Decision Tree Classifier,0.8967,0.8023,0.9361,0.9426,0.9392,0.5943,0.5963,0.215,4
Ridge Classifier,0.8918,0.8767,0.9255,0.9468,0.9358,0.5896,0.5933,0.219,4
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.158,4
Linear Discriminant Analysis,0.8164,0.7935,0.842,0.937,0.8862,0.4125,0.4319,0.903,4
Naive Bayes,0.4577,0.6324,0.3862,0.9475,0.5469,0.1072,0.1935,0.18,4
Quadratic Discriminant Analysis,0.2797,0.6854,0.1612,0.9752,0.266,0.0455,0.1324,0.709,4
K Neighbors Classifier,0.9218,0.9239,0.9673,0.9429,0.9548,0.6655,0.6718,0.18,5
Extra Trees Classifier,0.9204,0.9234,0.9738,0.9357,0.9543,0.6477,0.6578,0.386,5
Random Forest Classifier,0.9198,0.9408,0.9771,0.9323,0.9541,0.6372,0.6502,0.358,5
Logistic Regression,0.9142,0.9306,0.9624,0.939,0.9503,0.6334,0.6412,0.204,5
Ada Boost Classifier,0.9121,0.9153,0.9714,0.9292,0.9496,0.6028,0.6158,0.595,5
Gradient Boosting Classifier,0.9107,0.9349,0.9722,0.927,0.9489,0.5925,0.6065,1.642,5
SVM - Linear Kernel,0.9065,0.9167,0.955,0.9375,0.9452,0.6098,0.6264,0.219,5
Decision Tree Classifier,0.8786,0.7711,0.9239,0.9336,0.9285,0.5246,0.5274,0.227,5
Ridge Classifier,0.8786,0.8843,0.91,0.9458,0.9274,0.5569,0.562,0.223,5
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.17,5
Linear Discriminant Analysis,0.776,0.7856,0.7995,0.9283,0.8588,0.3287,0.3525,0.922,5
Naive Bayes,0.4019,0.5992,0.3232,0.9324,0.4786,0.0701,0.1423,0.2,5
Quadratic Discriminant Analysis,0.2226,0.6529,0.0924,0.9541,0.1675,0.0219,0.0866,0.668,5
Extra Trees Classifier,0.9289,0.9399,0.9771,0.9419,0.9591,0.6867,0.6969,0.398,6
Random Forest Classifier,0.9275,0.9486,0.9812,0.9371,0.9585,0.6702,0.6839,0.382,6
K Neighbors Classifier,0.9211,0.9096,0.9615,0.947,0.9541,0.6745,0.6793,0.185,6
Gradient Boosting Classifier,0.9142,0.9474,0.9689,0.9335,0.9507,0.62,0.6314,1.645,6
Logistic Regression,0.9121,0.9309,0.9566,0.9416,0.9489,0.6338,0.6377,0.25,6
SVM - Linear Kernel,0.9086,0.9252,0.9443,0.9483,0.9461,0.6422,0.6452,0.218,6
Ada Boost Classifier,0.9037,0.9341,0.9615,0.9288,0.9446,0.5736,0.5852,0.607,6
Decision Tree Classifier,0.8786,0.7565,0.9296,0.9286,0.9289,0.5115,0.5146,0.218,6
Ridge Classifier,0.8604,0.8611,0.8936,0.9398,0.9158,0.5063,0.513,0.223,6
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.165,6
Linear Discriminant Analysis,0.7892,0.7825,0.8175,0.9266,0.8681,0.3494,0.3672,0.913,6
Naive Bayes,0.4808,0.6235,0.4213,0.9345,0.579,0.1067,0.1808,0.193,6
Quadratic Discriminant Analysis,0.2484,0.671,0.1226,0.9762,0.2137,0.0323,0.1139,0.674,6
Random Forest Classifier,0.9233,0.9436,0.9746,0.9382,0.9559,0.6595,0.6718,0.36,7
Extra Trees Classifier,0.9211,0.9339,0.9673,0.9423,0.9543,0.6628,0.6719,0.382,7
Gradient Boosting Classifier,0.9205,0.9486,0.9714,0.9381,0.9543,0.6477,0.6578,1.592,7
K Neighbors Classifier,0.9155,0.9258,0.9558,0.9463,0.9508,0.6511,0.6558,0.215,7
Logistic Regression,0.9128,0.9312,0.9591,0.9402,0.9494,0.6323,0.6372,0.201,7
Ada Boost Classifier,0.9044,0.9267,0.9575,0.9325,0.9447,0.5916,0.5959,0.579,7
SVM - Linear Kernel,0.9044,0.9254,0.9484,0.9408,0.9441,0.606,0.6135,0.202,7
Decision Tree Classifier,0.8862,0.7772,0.9321,0.9346,0.9331,0.5506,0.5543,0.234,7
Ridge Classifier,0.8541,0.8589,0.8887,0.9375,0.912,0.4826,0.4912,0.232,7
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.165,7
Linear Discriminant Analysis,0.7502,0.7578,0.7749,0.92,0.8407,0.276,0.3007,0.987,7
Naive Bayes,0.476,0.6281,0.4124,0.9407,0.5701,0.1098,0.1891,0.2,7
Quadratic Discriminant Analysis,0.2219,0.6497,0.0932,0.935,0.1671,0.0194,0.0728,0.676,7
Extra Trees Classifier,0.9219,0.9432,0.973,0.9382,0.9551,0.6533,0.6649,0.381,8
Random Forest Classifier,0.9198,0.9501,0.9779,0.9321,0.9542,0.6298,0.6497,0.348,8
K Neighbors Classifier,0.9184,0.9186,0.9624,0.9437,0.9527,0.6522,0.6573,0.201,8
Gradient Boosting Classifier,0.9156,0.9518,0.9714,0.9331,0.9516,0.6199,0.6352,1.598,8
Logistic Regression,0.9142,0.93,0.9583,0.9424,0.9501,0.6427,0.6488,0.232,8
Ada Boost Classifier,0.9135,0.9236,0.9665,0.9347,0.9501,0.6223,0.6327,0.583,8
SVM - Linear Kernel,0.8974,0.9228,0.9534,0.9291,0.9406,0.5577,0.5696,0.208,8
Decision Tree Classifier,0.8863,0.7801,0.9305,0.9361,0.9331,0.5514,0.5538,0.238,8
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.173,8
Ridge Classifier,0.8478,0.8395,0.8854,0.9335,0.9084,0.4559,0.4642,0.236,8
Linear Discriminant Analysis,0.7767,0.7489,0.7995,0.9296,0.8592,0.3299,0.3551,0.935,8
Naive Bayes,0.4829,0.6246,0.4239,0.9343,0.5826,0.1076,0.1814,0.192,8
Quadratic Discriminant Analysis,0.2065,0.6596,0.0711,0.9639,0.1304,0.0195,0.0833,0.739,8
Random Forest Classifier,0.9309,0.959,0.9795,0.9419,0.9603,0.6952,0.7057,0.361,9
Extra Trees Classifier,0.9267,0.9447,0.9705,0.945,0.9576,0.6894,0.6946,0.381,9
K Neighbors Classifier,0.926,0.9364,0.9607,0.953,0.9567,0.7008,0.7035,0.197,9
Logistic Regression,0.9247,0.9403,0.9656,0.9471,0.9562,0.6863,0.6908,0.255,9
