Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Random Forest Classifier,0.9323,0.9488,0.9795,0.9436,0.9611,0.6995,0.7111,0.201,1
Logistic Regression,0.9316,0.9572,0.9697,0.9512,0.9603,0.7131,0.7167,0.372,1
Extra Trees Classifier,0.9302,0.9449,0.9722,0.9476,0.9596,0.7006,0.706,0.207,1
K Neighbors Classifier,0.9267,0.941,0.9599,0.9547,0.9572,0.7023,0.7049,0.117,1
Ridge Classifier,0.9253,0.9335,0.9623,0.9509,0.9564,0.6921,0.6961,0.107,1
Gradient Boosting Classifier,0.9232,0.9351,0.9779,0.9354,0.956,0.6516,0.6656,0.616,1
SVM - Linear Kernel,0.9183,0.9419,0.9623,0.9433,0.9526,0.6571,0.6632,0.089,1
Ada Boost Classifier,0.912,0.9198,0.9632,0.9357,0.9492,0.6215,0.6262,0.222,1
Decision Tree Classifier,0.9113,0.8371,0.9427,0.9529,0.9476,0.6577,0.6602,0.097,1
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.068,1
Naive Bayes,0.7871,0.7261,0.8125,0.9292,0.8664,0.3496,0.3705,0.096,1
Linear Discriminant Analysis,0.7132,0.6178,0.7332,0.9138,0.8131,0.2235,0.2519,0.41,1
Quadratic Discriminant Analysis,0.5981,0.7829,0.5524,0.9585,0.6986,0.2099,0.2962,0.326,1
Logistic Regression,0.9302,0.9442,0.9763,0.944,0.9598,0.6962,0.7041,0.086,2
Random Forest Classifier,0.9288,0.9495,0.982,0.9378,0.9592,0.6793,0.6969,0.202,2
Ada Boost Classifier,0.9281,0.9259,0.9771,0.9412,0.9587,0.6829,0.694,0.265,2
Gradient Boosting Classifier,0.9267,0.9349,0.9844,0.9334,0.9582,0.6643,0.6819,0.545,2
Extra Trees Classifier,0.9267,0.9342,0.9754,0.9412,0.9578,0.6787,0.6919,0.267,2
K Neighbors Classifier,0.9254,0.9318,0.9722,0.9422,0.9569,0.6788,0.6868,0.089,2
Ridge Classifier,0.9232,0.9238,0.9672,0.9444,0.9555,0.6737,0.6811,0.095,2
SVM - Linear Kernel,0.9183,0.9249,0.9681,0.9388,0.9529,0.6427,0.6553,0.083,2
Decision Tree Classifier,0.9121,0.8313,0.946,0.9508,0.9483,0.6534,0.655,0.098,2
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.085,2
Naive Bayes,0.7774,0.6991,0.8102,0.9195,0.8608,0.312,0.3293,0.082,2
Linear Discriminant Analysis,0.7215,0.6131,0.7422,0.9146,0.8185,0.2428,0.268,0.408,2
Quadratic Discriminant Analysis,0.5855,0.804,0.5377,0.9585,0.6882,0.1952,0.2845,0.363,2
Logistic Regression,0.9365,0.9585,0.973,0.9538,0.9632,0.7329,0.7373,0.085,3
Random Forest Classifier,0.9358,0.9577,0.9828,0.9443,0.9631,0.7158,0.726,0.196,3
Extra Trees Classifier,0.9358,0.9527,0.9779,0.9486,0.9629,0.7231,0.7312,0.204,3
K Neighbors Classifier,0.9344,0.9487,0.9607,0.9626,0.9615,0.7382,0.7406,0.087,3
Gradient Boosting Classifier,0.9295,0.9538,0.9828,0.9376,0.9597,0.682,0.6957,0.634,3
Ada Boost Classifier,0.9239,0.9276,0.9656,0.9465,0.9559,0.6797,0.6828,0.25,3
Ridge Classifier,0.9205,0.9228,0.9575,0.9497,0.9535,0.6794,0.682,0.105,3
SVM - Linear Kernel,0.9198,0.9467,0.955,0.9514,0.953,0.6774,0.6803,0.089,3
Decision Tree Classifier,0.9051,0.8058,0.9468,0.9424,0.9444,0.6179,0.621,0.101,3
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.07,3
Naive Bayes,0.8025,0.7079,0.842,0.9205,0.879,0.3425,0.3554,0.081,3
Linear Discriminant Analysis,0.7083,0.6174,0.7267,0.9136,0.8088,0.2228,0.2513,0.371,3
Quadratic Discriminant Analysis,0.6093,0.8228,0.5631,0.9638,0.7085,0.2243,0.3143,0.331,3
Logistic Regression,0.9253,0.951,0.9672,0.9466,0.9566,0.6866,0.6927,0.102,4
Extra Trees Classifier,0.9232,0.927,0.9738,0.9387,0.9558,0.6626,0.6728,0.237,4
K Neighbors Classifier,0.9218,0.93,0.9664,0.9435,0.9547,0.6691,0.6747,0.093,4
Random Forest Classifier,0.9204,0.9438,0.9812,0.9296,0.9546,0.633,0.6522,0.245,4
Gradient Boosting Classifier,0.919,0.9324,0.9762,0.9323,0.9536,0.6352,0.6512,0.542,4
Ridge Classifier,0.9141,0.925,0.955,0.9451,0.9499,0.6489,0.6511,0.102,4
Ada Boost Classifier,0.9079,0.8945,0.9623,0.9323,0.9469,0.5979,0.6061,0.232,4
SVM - Linear Kernel,0.9079,0.9318,0.946,0.9462,0.9459,0.6327,0.6351,0.091,4
Decision Tree Classifier,0.8995,0.788,0.946,0.937,0.9412,0.592,0.5974,0.103,4
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.077,4
Naive Bayes,0.8011,0.7067,0.8404,0.9203,0.8779,0.3395,0.3529,0.076,4
Linear Discriminant Analysis,0.7446,0.6334,0.7659,0.9215,0.8362,0.2755,0.3021,0.394,4
Quadratic Discriminant Analysis,0.5952,0.776,0.5556,0.9499,0.6994,0.1914,0.2711,0.396,4
K Neighbors Classifier,0.9309,0.9402,0.9673,0.9526,0.9598,0.7147,0.7187,0.09,5
Random Forest Classifier,0.9288,0.9465,0.9812,0.9384,0.9592,0.6807,0.6952,0.197,5
Extra Trees Classifier,0.9275,0.929,0.9738,0.9432,0.9581,0.6855,0.6944,0.217,5
Logistic Regression,0.924,0.9431,0.9656,0.9466,0.9559,0.681,0.6871,0.096,5
Ridge Classifier,0.9233,0.9159,0.9599,0.9511,0.9553,0.6842,0.689,0.109,5
Gradient Boosting Classifier,0.9226,0.9276,0.9796,0.9333,0.9557,0.6471,0.6628,0.608,5
Ada Boost Classifier,0.9128,0.8924,0.9599,0.9394,0.9494,0.6321,0.6365,0.262,5
SVM - Linear Kernel,0.9058,0.9194,0.9378,0.9513,0.9442,0.64,0.6439,0.093,5
