Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Gradient Boosting Classifier,0.9281,0.9542,0.9697,0.9476,0.9584,0.6929,0.699,2.484,1
Logistic Regression,0.9246,0.9378,0.964,0.9486,0.9562,0.6865,0.6888,0.536,1
Extra Trees Classifier,0.9239,0.9365,0.9681,0.9442,0.956,0.676,0.6796,0.348,1
Ada Boost Classifier,0.9232,0.9371,0.9714,0.9409,0.9558,0.6648,0.6736,0.627,1
Random Forest Classifier,0.9225,0.9491,0.9714,0.9401,0.9554,0.6614,0.6688,0.325,1
K Neighbors Classifier,0.9218,0.9328,0.9575,0.9515,0.9544,0.6811,0.6835,0.19,1
SVM - Linear Kernel,0.9107,0.9345,0.9492,0.9468,0.9475,0.6417,0.6498,0.213,1
Decision Tree Classifier,0.9023,0.7998,0.9451,0.9409,0.9428,0.604,0.6071,0.22,1
Ridge Classifier,0.8821,0.8454,0.9141,0.946,0.9295,0.5669,0.5719,0.192,1
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.157,1
Naive Bayes,0.8032,0.7915,0.8216,0.9402,0.8766,0.4005,0.4243,0.18,1
Linear Discriminant Analysis,0.7788,0.7133,0.8044,0.9262,0.8605,0.3358,0.3561,0.582,1
Quadratic Discriminant Analysis,0.4278,0.8145,0.3372,0.976,0.4963,0.1154,0.2255,0.666,1
SVM - Linear Kernel,0.9309,0.9534,0.9665,0.9536,0.9597,0.7151,0.721,0.212,2
Extra Trees Classifier,0.9309,0.9417,0.9714,0.949,0.9599,0.7078,0.7126,0.392,2
Logistic Regression,0.9288,0.9577,0.9632,0.9542,0.9585,0.7072,0.7111,0.242,2
Gradient Boosting Classifier,0.9267,0.9652,0.9746,0.9416,0.9578,0.6804,0.6882,2.24,2
Random Forest Classifier,0.926,0.9645,0.9763,0.9396,0.9575,0.6727,0.6837,0.368,2
Ada Boost Classifier,0.9218,0.942,0.9681,0.942,0.9548,0.6662,0.6715,0.56,2
K Neighbors Classifier,0.9218,0.9395,0.9623,0.947,0.9545,0.6752,0.6783,0.191,2
Ridge Classifier,0.9044,0.8878,0.937,0.9505,0.9435,0.6321,0.6355,0.202,2
Decision Tree Classifier,0.9009,0.8053,0.9411,0.9428,0.9418,0.6066,0.6089,0.225,2
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.166,2
Linear Discriminant Analysis,0.852,0.8092,0.8748,0.9478,0.9097,0.5031,0.5165,0.543,2
Naive Bayes,0.8269,0.809,0.8543,0.9371,0.8934,0.4343,0.4483,0.183,2
Quadratic Discriminant Analysis,0.4711,0.8519,0.3855,0.987,0.5512,0.1448,0.2664,0.641,2
Random Forest Classifier,0.9288,0.9453,0.9747,0.9439,0.9589,0.6906,0.6985,0.321,3
Extra Trees Classifier,0.926,0.9309,0.9673,0.9472,0.957,0.6908,0.6957,0.404,3
Gradient Boosting Classifier,0.9232,0.9495,0.9705,0.9415,0.9556,0.669,0.6766,2.25,3
Logistic Regression,0.9183,0.9384,0.9599,0.9454,0.9524,0.6616,0.6663,0.218,3
K Neighbors Classifier,0.9155,0.923,0.9591,0.943,0.9509,0.6492,0.6523,0.166,3
SVM - Linear Kernel,0.9148,0.9296,0.9591,0.9426,0.9506,0.6398,0.6447,0.188,3
Ada Boost Classifier,0.9141,0.9189,0.964,0.9375,0.9504,0.6299,0.6373,0.519,3
Decision Tree Classifier,0.8918,0.7818,0.9378,0.936,0.9365,0.5664,0.5719,0.197,3
Ridge Classifier,0.8807,0.863,0.9157,0.9428,0.9289,0.5559,0.5591,0.211,3
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.169,3
Linear Discriminant Analysis,0.8151,0.7815,0.8404,0.9365,0.8856,0.4077,0.4255,0.538,3
Naive Bayes,0.806,0.7998,0.8331,0.9323,0.8795,0.3864,0.4037,0.151,3
Quadratic Discriminant Analysis,0.4912,0.8254,0.4125,0.9779,0.5764,0.1549,0.2671,0.55,3
Gradient Boosting Classifier,0.933,0.9645,0.9738,0.9492,0.9612,0.7146,0.7218,2.443,4
Random Forest Classifier,0.9316,0.9613,0.9754,0.9464,0.9605,0.7036,0.7121,0.283,4
K Neighbors Classifier,0.9302,0.9308,0.9705,0.9489,0.9595,0.7057,0.7102,0.172,4
Logistic Regression,0.9295,0.9537,0.9689,0.9497,0.9591,0.704,0.7092,0.214,4
Extra Trees Classifier,0.9274,0.9465,0.9705,0.946,0.958,0.6912,0.698,0.387,4
Ada Boost Classifier,0.926,0.9462,0.9697,0.9452,0.9571,0.6863,0.6938,0.535,4
SVM - Linear Kernel,0.9176,0.9496,0.9501,0.9543,0.9511,0.6797,0.6947,0.189,4
Decision Tree Classifier,0.903,0.8124,0.9411,0.945,0.9429,0.6196,0.6224,0.204,4
Ridge Classifier,0.9016,0.8838,0.9321,0.9518,0.9416,0.6281,0.6329,0.178,4
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.166,4
Naive Bayes,0.8172,0.8023,0.8469,0.9324,0.8875,0.4047,0.4187,0.148,4
Linear Discriminant Analysis,0.7663,0.7431,0.7856,0.9294,0.8512,0.3219,0.3484,0.514,4
Quadratic Discriminant Analysis,0.3664,0.8171,0.2602,0.9892,0.4025,0.0906,0.2047,0.562,4
Gradient Boosting Classifier,0.9309,0.9586,0.9697,0.9504,0.9599,0.7101,0.7143,2.315,5
Random Forest Classifier,0.9295,0.9585,0.9714,0.9474,0.9592,0.7011,0.7051,0.29,5
SVM - Linear Kernel,0.9281,0.9525,0.9632,0.9532,0.958,0.7072,0.7103,0.181,5
Logistic Regression,0.9281,0.9558,0.9664,0.9503,0.9582,0.7008,0.7039,0.237,5
Extra Trees Classifier,0.9267,0.9489,0.9681,0.9473,0.9575,0.6917,0.6955,0.376,5
K Neighbors Classifier,0.9204,0.9359,0.9575,0.95,0.9535,0.6748,0.6787,0.21,5
Ada Boost Classifier,0.9128,0.9385,0.9591,0.9399,0.9494,0.6345,0.6373,0.583,5
Decision Tree Classifier,0.9127,0.8289,0.9476,0.9503,0.9487,0.654,0.6568,0.226,5
Ridge Classifier,0.887,0.8652,0.9214,0.9451,0.9328,0.5742,0.5791,0.178,5
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.173,5
Naive Bayes,0.8255,0.8002,0.8526,0.9381,0.8924,0.4269,0.4452,0.196,5
Linear Discriminant Analysis,0.806,0.774,0.8265,0.9392,0.8788,0.3996,0.4224,0.527,5
Quadratic Discriminant Analysis,0.3964,0.7801,0.2978,0.9802,0.4543,0.1003,0.2135,0.551,5
K Neighbors Classifier,0.9177,0.9322,0.9558,0.9483,0.9518,0.6673,0.6714,0.161,6
Gradient Boosting Classifier,0.9149,0.9519,0.9607,0.941,0.9506,0.6422,0.6475,2.375,6
Ada Boost Classifier,0.9142,0.935,0.9632,0.9383,0.9504,0.6307,0.6365,0.532,6
Logistic Regression,0.9135,0.9372,0.9583,0.9417,0.9497,0.6395,0.6448,0.205,6
Extra Trees Classifier,0.9107,0.9342,0.9632,0.9344,0.9484,0.6162,0.6242,0.415,6
Random Forest Classifier,0.91,0.9507,0.9623,0.9344,0.948,0.6132,0.6205,0.336,6
SVM - Linear Kernel,0.9065,0.9329,0.9599,0.933,0.9458,0.5991,0.6118,0.181,6
Decision Tree Classifier,0.896,0.7902,0.9402,0.9391,0.9393,0.5733,0.5784,0.192,6
Ridge Classifier,0.8772,0.8483,0.9165,0.9387,0.9272,0.5336,0.5382,0.17,6
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.181,6
Naive Bayes,0.8144,0.7868,0.8437,0.9325,0.8853,0.4009,0.4172,0.151,6
Linear Discriminant Analysis,0.8081,0.7445,0.8413,0.927,0.8819,0.3756,0.389,0.578,6
Quadratic Discriminant Analysis,0.3635,0.7791,0.2568,0.9911,0.4011,0.0879,0.2048,0.624,6
Gradient Boosting Classifier,0.933,0.9623,0.9763,0.9469,0.9613,0.7121,0.7181,2.298,7
Random Forest Classifier,0.9288,0.9597,0.9722,0.946,0.9588,0.6971,0.703,0.361,7
Extra Trees Classifier,0.9281,0.9356,0.9656,0.951,0.9581,0.7038,0.7086,0.395,7
Logistic Regression,0.9253,0.9543,0.9599,0.953,0.9563,0.698,0.7008,0.266,7
K Neighbors Classifier,0.9246,0.9385,0.9615,0.9508,0.9561,0.6901,0.6923,0.202,7
Ada Boost Classifier,0.9156,0.9346,0.9648,0.9381,0.9512,0.6395,0.6454,0.603,7
SVM - Linear Kernel,0.9142,0.946,0.9468,0.9531,0.9494,0.6628,0.6703,0.219,7
Decision Tree Classifier,0.9107,0.8224,0.9476,0.9479,0.9475,0.6447,0.6486,0.231,7
Ridge Classifier,0.8995,0.8818,0.9305,0.9509,0.9403,0.6216,0.6259,0.195,7
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.176,7
Naive Bayes,0.8249,0.7898,0.8601,0.9297,0.8929,0.4099,0.4216,0.185,7
Linear Discriminant Analysis,0.8053,0.7775,0.8314,0.9331,0.879,0.3867,0.405,0.562,7
Quadratic Discriminant Analysis,0.3482,0.7817,0.2414,0.9756,0.3817,0.0757,0.1798,0.627,7
Random Forest Classifier,0.9288,0.9661,0.973,0.9456,0.9589,0.6912,0.7003,0.37,8
Extra Trees Classifier,0.9253,0.9439,0.9657,0.9482,0.9566,0.6885,0.6959,0.334,8
